2019-09-16 16:53:08,561 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2019-09-16 16:53:08,603 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2019-09-16 16:53:08,604 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2019-09-16 16:53:08,604 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2019-09-16 16:53:08,616 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2019-09-16 16:53:08,617 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2019-09-16 16:53:08,690 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2019-09-16 23:10:30,103 INFO  SwAddin.cs: 271 - Assembly export called for file First Iteration Inchworm with Blocks Assembly V2
2019-09-16 23:10:30,108 INFO  SwAddin.cs: 276 - Save is required
2019-09-16 23:10:30,109 INFO  SwAddin.cs: 290 - Saving assembly
2019-09-16 23:10:30,919 INFO  SwAddin.cs: 293 - Opening property manager
2019-09-16 23:10:30,932 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from First Iteration Inchworm with Blocks Assembly V2
2019-09-16 23:10:30,940 INFO  ExportHelperExtension.cs: 1142 - Found 38 in First Iteration Inchworm with Blocks Assembly V2
2019-09-16 23:10:30,940 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in First Iteration Inchworm with Blocks Assembly V2
2019-09-16 23:10:30,941 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2019-09-16 23:10:30,942 INFO  ExportHelperExtension.cs: 1167 - 5 components to check
2019-09-16 23:10:30,943 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Unit Block-1
2019-09-16 23:10:30,943 INFO  ExportHelperExtension.cs: 1142 - Found 24 in Unit Block-1
2019-09-16 23:10:30,944 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Unit Block-1
2019-09-16 23:10:30,945 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Unit Block-3
2019-09-16 23:10:30,945 INFO  ExportHelperExtension.cs: 1142 - Found 24 in Unit Block-3
2019-09-16 23:10:30,946 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Unit Block-3
2019-09-16 23:10:30,946 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Unit Block-2
2019-09-16 23:10:30,946 INFO  ExportHelperExtension.cs: 1142 - Found 24 in Unit Block-2
2019-09-16 23:10:30,947 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Unit Block-2
2019-09-16 23:10:30,947 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from First Iteration Inchworm Assembly V2-1
